post_id,platform,post_type,date,hour,likes,shares,comments,views,engagement_rate,hashtags_count,has_video,has_image,follower_count,topic
1,Instagram,photo,2024-01-15,14,1250,89,156,5600,25.2,8,false,true,12500,travel
2,TikTok,video,2024-01-15,16,8900,1200,890,45000,24.4,5,true,false,85000,dance
3,Twitter,text,2024-01-15,10,450,123,67,2800,23.0,12,false,false,8900,tech
4,Instagram,reel,2024-01-16,19,3400,567,234,18500,22.7,6,true,true,12500,fitness
5,YouTube,video,2024-01-16,20,15600,890,1240,89000,19.9,3,true,true,156000,education
6,TikTok,video,2024-01-17,15,12300,1890,1100,67000,22.8,7,true,false,85000,comedy
7,Instagram,story,2024-01-17,12,890,45,123,4500,23.7,4,false,true,12500,lifestyle
8,Twitter,thread,2024-01-18,9,1200,345,189,6700,25.9,8,false,false,8900,startup
9,Instagram,photo,2024-01-18,17,2100,167,298,9800,26.2,10,false,true,12500,food
10,TikTok,video,2024-01-19,14,18900,2340,1560,98000,23.3,4,true,false,85000,trending
11,YouTube,short,2024-01-19,18,8900,445,567,34000,28.5,2,true,true,156000,howto
12,Instagram,carousel,2024-01-20,13,1890,234,189,8900,26.0,9,false,true,12500,art
13,Twitter,text,2024-01-20,11,678,89,45,3400,23.9,6,false,false,8900,news
14,TikTok,video,2024-01-21,16,23400,3200,1890,120000,23.8,8,true,false,85000,music
15,Instagram,reel,2024-01-21,20,4500,789,567,25000,23.4,5,true,true,12500,fashion
16,YouTube,video,2024-01-22,19,12300,678,890,56000,24.7,4,true,true,156000,review
17,Instagram,photo,2024-01-22,15,1650,123,234,7800,25.8,7,false,true,12500,nature
18,TikTok,video,2024-01-23,17,15600,2100,1340,78000,24.4,6,true,false,85000,pets
19,Twitter,poll,2024-01-23,10,890,156,123,4500,26.2,3,false,false,8900,opinion
20,Instagram,story,2024-01-24,14,1200,67,189,5600,26.0,5,true,true,12500,behind_scenes
21,YouTube,livestream,2024-01-24,21,8900,567,1200,45000,23.7,2,true,true,156000,gaming
22,TikTok,video,2024-01-25,13,19800,2890,1670,95000,25.8,9,true,false,85000,challenge
23,Instagram,reel,2024-01-25,18,3200,445,389,16500,24.5,8,true,true,12500,workout
24,Twitter,text,2024-01-26,8,567,78,34,2900,23.4,4,false,false,8900,motivation
25,Instagram,photo,2024-01-26,16,2340,189,267,11200,25.0,11,false,true,12500,sunset
26,TikTok,video,2024-01-27,15,21200,3450,1890,110000,24.1,5,true,false,85000,tutorial
27,YouTube,video,2024-01-27,20,14500,890,1100,67000,24.6,3,true,true,156000,vlog
28,Instagram,carousel,2024-01-28,14,1980,234,198,9200,26.4,6,false,true,12500,tips
29,Twitter,retweet,2024-01-28,12,1100,267,89,5600,26.0,7,false,false,8900,breaking
30,TikTok,video,2024-01-29,16,17800,2560,1450,89000,24.7,10,true,false,85000,transformation
